id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000078,CA,01/01/2013,,Redding,Shasta County,6089,,,F,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000079,CA,01/01/2013,,Redding,Shasta County,6089,,,M,33-39,,Other,Other,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,O
CA-2013-0000080,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000081,CA,01/01/2013,,Redding,Shasta County,6089,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000082,CA,01/01/2013,,Redding,Shasta County,6089,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000083,CA,01/01/2013,,Redding,Shasta County,6089,,,M,15-25,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000084,CA,01/01/2013,,Redding,Shasta County,6089,,,M,40-48,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000085,CA,01/01/2013,,Redding,Shasta County,6089,,,M,25-32,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000086,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,40-48,,Hispanic,Hispanic,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000087,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,40-48,,Hispanic,Hispanic,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000088,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,49+,,White,White,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000089,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,25-32,,Hispanic,Hispanic,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000090,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,40-48,,Other Asian,Asian,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,A
CA-2013-0000091,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,49+,,Other Asian,Asian,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,A
CA-2013-0000092,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,40-48,,Other Asian,Asian,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,A
CA-2013-0000093,CA,01/01/2013,,San Onofre Inspection Facility,San Diego County,6073,,,M,40-48,,Hispanic,Hispanic,Inspection/Scale Facility,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000094,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,49+,,Other Asian,Asian,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,A
CA-2013-0000095,CA,01/01/2013,,Santa Ana,Orange County,6059,,,M,15-25,,Hispanic,Hispanic,DUI Check,DUI,TRUE,Incidental to Arrest,Incident to Arrest,,Arrest,TRUE,H
CA-2013-0000096,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,25-32,,Other,Other,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,O
CA-2013-0000097,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,25-32,,Other,Other,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,O
CA-2013-0000098,CA,01/01/2013,,Santa Ana,Orange County,6059,,,F,40-48,,White,White,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,W
CA-2013-0000099,CA,01/01/2013,,Redding,Shasta County,6089,,,F,25-32,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000100,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,TRUE,Incidental to Arrest,Incident to Arrest,,Arrest,TRUE,H
CA-2013-0000101,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,25-32,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000102,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,25-32,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000103,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,TRUE,Incidental to Arrest,Incident to Arrest,,Arrest,TRUE,H
CA-2013-0000104,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,33-39,,Other,Other,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,O
CA-2013-0000105,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,49+,,Hispanic,Hispanic,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,H
CA-2013-0000106,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,49+,,White,White,Traffic Collision,Other,TRUE,Incidental to Arrest,Incident to Arrest,,Arrest,TRUE,W
CA-2013-0000107,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,25-32,,White,White,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,W
CA-2013-0000108,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,49+,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000109,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,15-25,,White,White,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,W
CA-2013-0000110,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,25-32,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000111,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000112,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
